Price,Close,High,Low,Open,Volume
Ticker,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F
Date,,,,,
2025-09-08,505.5,505.5,502.0,503.25,6
2025-09-09,500.75,506.75,500.75,503.75,26
2025-09-10,495.0,498.0,495.0,498.0,18
2025-09-11,503.0,503.0,496.25,501.75,2
2025-09-12,503.0,503.0,503.0,503.0,55282
2025-09-15,525.0,529.25,520.25,522.75,55496
2025-09-16,534.0,534.5,524.0,525.0,46736
2025-09-17,528.25,535.75,526.0,533.5,49323
2025-09-18,524.25,532.25,523.0,528.25,39926
2025-09-19,522.5,526.75,520.25,525.0,45048
2025-09-22,510.75,523.0,508.5,522.25,86785
2025-09-23,520.5,521.0,507.25,511.0,71968
2025-09-24,519.5,524.5,519.0,520.5,53328
2025-09-25,527.0,527.5,518.25,520.5,56448
2025-09-26,519.75,527.75,518.75,526.25,52731
2025-09-29,519.5,522.5,516.75,519.0,44889
2025-09-30,508.0,519.75,506.75,519.5,85752
2025-10-01,509.25,510.25,502.0,508.0,82924
2025-10-02,514.75,516.0,508.25,509.0,57218
2025-10-03,515.25,518.5,512.75,514.0,47455
2025-10-06,512.75,518.25,512.0,515.25,49990
2025-10-07,506.75,514.25,505.75,513.0,53564
2025-10-08,507.25,508.75,503.75,507.0,44067
2025-10-09,506.5,513.5,506.5,508.0,79086
2025-10-10,498.5,509.5,496.75,508.5,63513
2025-10-13,496.75,501.75,494.5,499.25,63513
2025-10-14,500.25,501.75,492.25,498.5,65741
2025-10-15,498.75,501.25,494.75,501.0,57004
2025-10-16,502.5,503.75,495.25,500.0,53290
2025-10-17,503.75,505.0,500.25,502.25,38177
2025-10-20,504.75,507.25,502.0,505.0,37582
2025-10-21,500.25,506.25,498.0,504.75,41036
2025-10-22,503.75,505.5,498.25,501.75,45473
2025-10-23,513.0,513.5,502.5,504.75,58191
2025-10-24,512.5,515.5,509.75,512.0,59008
2025-10-27,526.0,530.5,516.75,517.0,109465
2025-10-28,529.0,535.0,524.0,524.0,105303
2025-10-29,532.25,533.75,526.75,528.5,90090
2025-10-30,524.25,535.5,520.25,533.25,101549
2025-10-31,534.0,534.25,517.25,524.25,111375
2025-11-03,543.5,545.0,531.25,534.0,0
2025-11-04,550.25,550.5,539.75,542.75,116421
2025-11-05,554.75,555.0,546.25,549.5,72195
2025-11-06,535.5,554.5,534.5,552.75,119141
2025-11-07,527.75,537.5,526.25,535.5,127657
2025-11-10,535.75,537.25,527.5,528.0,92410
2025-11-11,536.0,539.0,531.25,535.75,80355
2025-11-12,536.0,536.75,527.5,536.0,95686
2025-11-13,535.75,539.25,530.75,536.25,92763
2025-11-14,527.25,544.5,524.5,535.75,85222
2025-11-17,544.25,545.75,525.75,526.75,64246
2025-11-18,546.5,549.75,540.5,544.5,34471
2025-11-19,536.75,550.5,535.0,546.0,37984
2025-11-20,527.0,543.25,526.0,537.0,41598
2025-11-21,527.0,532.5,522.75,528.25,32622
2025-11-24,522.25,529.0,519.5,528.5,26119
2025-11-25,527.25,528.25,520.25,522.5,26212
2025-11-26,529.0,533.75,523.75,526.75,18026
2025-11-28,531.0,532.25,527.25,529.5,1198
2025-12-01,530.25,535.0,527.5,535.0,426
2025-12-02,537.75,537.75,536.0,536.0,184
2025-12-03,537.75,542.25,536.5,542.25,139
2025-12-04,541.0,541.75,532.5,533.0,73
2025-12-05,537.5,539.0,537.0,539.0,56
2025-12-08,536.0,541.25,536.0,536.0,31
2025-12-09,536.25,536.25,535.0,535.5,14
2025-12-10,531.25,531.25,526.5,526.5,27
2025-12-11,534.5,534.5,534.5,534.5,6
2025-12-12,534.5,534.5,534.5,534.5,50614
2025-12-15,520.75,529.5,519.5,529.5,79494
2025-12-16,509.5,522.25,507.5,521.0,116616
2025-12-17,506.25,511.5,504.0,510.75,93081
2025-12-18,507.75,510.75,505.5,507.75,82031
2025-12-19,509.75,511.25,505.5,507.75,58220
2025-12-22,515.5,518.25,510.0,511.0,43608
2025-12-23,517.0,518.75,513.75,514.25,41461
2025-12-24,521.75,525.0,518.0,518.5,32999
2025-12-26,519.0,524.5,517.0,522.5,38020
2025-12-29,513.0,521.0,512.0,518.0,43201
2025-12-30,510.75,515.5,510.0,512.75,36300
2025-12-31,507.0,512.0,506.0,510.25,40225
2026-01-02,506.5,508.5,501.5,506.5,59096
2026-01-05,512.5,514.5,505.75,507.25,65960
2026-01-06,510.5,515.0,510.0,512.75,53561
2026-01-07,518.0,520.25,509.25,510.5,74479
2026-01-08,518.0,522.75,515.75,518.75,70497
2026-01-09,517.25,521.25,513.75,519.75,56772
2026-01-12,511.25,528.0,507.0,517.25,109417
2026-01-13,510.5,513.75,507.0,512.25,68026
2026-01-14,512.5,514.5,508.0,512.0,58151
2026-01-15,510.5,517.25,509.75,512.5,49930
2026-01-16,518.0,521.0,510.25,511.0,56609
2026-01-20,510.25,520.25,509.5,518.25,65161
2026-01-21,507.75,516.75,507.0,510.75,56709
2026-01-22,515.5,517.0,507.75,508.25,53201
2026-01-23,529.5,530.5,514.75,515.0,85085
2026-01-26,522.5,533.25,521.5,532.0,79398
2026-01-27,523.25,525.5,519.25,522.5,62546
2026-01-28,536.0,541.25,523.0,523.25,121762
2026-01-29,541.5,544.25,533.75,536.0,91934
2026-01-30,538.0,544.75,533.5,541.25,87410
2026-02-02,527.75,540.0,525.75,539.5,85993
2026-02-03,528.75,531.0,525.0,528.25,61674
2026-02-04,526.75,531.75,522.25,529.25,78497
2026-02-05,535.25,536.5,522.75,527.0,70977
2026-02-06,529.75,539.25,527.5,534.75,104156
