Price,Close,High,Low,Open,Volume
Ticker,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO
Date,,,,,
2025-09-08,8849.599609375,8871.2001953125,8826.900390625,8871.2001953125,592500
2025-09-09,8803.5,8849.599609375,8783.400390625,8849.599609375,690400
2025-09-10,8830.400390625,8837.400390625,8790.400390625,8803.5,809800
2025-09-11,8805.0,8830.400390625,8782.599609375,8830.400390625,773200
2025-09-12,8864.900390625,8887.599609375,8805.0,8805.0,633800
2025-09-15,8853.0,8864.900390625,8794.0,8864.900390625,616700
2025-09-16,8877.7001953125,8888.0,8853.0,8853.0,644700
2025-09-17,8818.5,8877.7001953125,8803.5,8877.7001953125,660500
2025-09-18,8745.2001953125,8818.5,8737.5,8818.5,762800
2025-09-19,8773.5,8821.0,8745.2001953125,8745.2001953125,2579200
2025-09-22,8810.900390625,8846.0,8773.5,8773.5,611200
2025-09-23,8845.900390625,8877.099609375,8810.0,8810.900390625,742600
2025-09-24,8764.5,8845.900390625,8744.2998046875,8845.900390625,715300
2025-09-25,8773.0,8793.599609375,8737.900390625,8764.5,837400
2025-09-26,8787.7001953125,8795.599609375,8746.2998046875,8773.0,832800
2025-09-29,8862.7998046875,8871.7001953125,8787.7001953125,8787.7001953125,575600
2025-09-30,8848.7998046875,8892.400390625,8842.400390625,8862.7998046875,874400
2025-10-01,8845.7001953125,8864.2998046875,8809.0,8848.7998046875,729400
2025-10-02,8945.900390625,8965.900390625,8845.7001953125,8845.7001953125,790100
2025-10-03,8987.400390625,8995.5,8927.900390625,8945.900390625,637100
2025-10-06,8981.400390625,9026.400390625,8970.599609375,8987.400390625,462700
2025-10-07,8956.7998046875,8981.400390625,8937.2001953125,8981.400390625,736900
2025-10-08,8947.599609375,8963.7001953125,8916.2001953125,8956.7998046875,755100
2025-10-09,8969.7998046875,8997.2998046875,8947.599609375,8947.599609375,710000
2025-10-10,8958.2998046875,8977.7001953125,8938.2001953125,8969.7998046875,632900
2025-10-13,8882.7998046875,8958.2998046875,8868.0,8958.2998046875,314400
2025-10-14,8899.400390625,8914.900390625,8843.7998046875,8882.7998046875,778300
2025-10-15,8990.900390625,8990.900390625,8899.400390625,8899.400390625,728600
2025-10-16,9068.400390625,9109.7001953125,8990.900390625,8990.900390625,713300
2025-10-17,8995.2998046875,9068.400390625,8990.099609375,9068.400390625,809300
2025-10-20,9031.900390625,9034.400390625,8963.599609375,8995.2998046875,676500
2025-10-21,9094.7001953125,9115.2001953125,9031.900390625,9031.900390625,680200
2025-10-22,9030.0,9094.7001953125,8998.7001953125,9094.7001953125,758000
2025-10-23,9032.7998046875,9043.2001953125,8986.2001953125,9030.0,650800
2025-10-24,9019.0,9054.2998046875,9010.2998046875,9032.7998046875,659600
2025-10-27,9055.599609375,9083.400390625,9019.0,9019.0,543300
2025-10-28,9012.5,9055.599609375,9006.7001953125,9055.599609375,742400
2025-10-29,8926.2001953125,9021.599609375,8921.7998046875,9012.5,626400
2025-10-30,8885.5,8926.2001953125,8876.0,8926.2001953125,679600
2025-10-31,8881.900390625,8943.400390625,8881.900390625,8885.5,740300
2025-11-03,8894.7998046875,8894.7998046875,8829.2998046875,8881.900390625,542800
2025-11-04,8813.7001953125,8894.7998046875,8801.900390625,8894.7998046875,527100
2025-11-05,8802.0,8825.099609375,8733.7998046875,8813.7001953125,667100
2025-11-06,8831.7998046875,8831.7998046875,8804.7001953125,8828.2998046875,84900
2025-11-07,8769.7001953125,8835.400390625,8756.400390625,8828.2998046875,564200
2025-11-10,8830.900390625,8875.599609375,8830.900390625,8835.900390625,71200
2025-11-11,8818.7998046875,8875.599609375,8816.599609375,8835.900390625,612900
2025-11-12,8799.5,8843.599609375,8799.5,8818.7998046875,685800
2025-11-13,8753.400390625,8799.599609375,8701.7998046875,8799.5,808100
2025-11-14,8634.5,8753.400390625,8612.2001953125,8753.400390625,617100
2025-11-17,8636.400390625,8636.400390625,8588.900390625,8634.5,544800
2025-11-18,8469.099609375,8636.400390625,8445.7001953125,8636.400390625,729000
2025-11-19,8447.900390625,8488.599609375,8447.900390625,8469.099609375,625100
2025-11-20,8552.7001953125,8565.099609375,8447.900390625,8447.900390625,630100
2025-11-21,8416.5,8552.7001953125,8383.2001953125,8552.7001953125,762500
2025-11-24,8525.099609375,8526.5,8416.5,8416.5,1317200
2025-11-25,8537.0,8572.599609375,8506.7001953125,8525.099609375,620300
2025-11-26,8606.5,8637.900390625,8537.0,8537.0,840600
2025-11-27,8619.2001953125,8619.2001953125,8588.7998046875,8617.2998046875,75200
2025-11-28,8614.099609375,8633.400390625,8588.7998046875,8617.2998046875,648800
2025-12-01,8565.2001953125,8624.7001953125,8563.2001953125,8614.099609375,608500
2025-12-02,8579.7001953125,8602.5,8565.2001953125,8565.2001953125,645100
2025-12-03,8595.2001953125,8622.599609375,8576.2998046875,8579.7001953125,687400
2025-12-04,8618.400390625,8618.7998046875,8566.7001953125,8595.2001953125,614300
2025-12-05,8634.599609375,8634.599609375,8591.2001953125,8618.400390625,580300
2025-12-08,8624.400390625,8634.599609375,8595.599609375,8634.599609375,560500
2025-12-09,8585.900390625,8624.400390625,8580.400390625,8624.400390625,582700
2025-12-10,8579.400390625,8611.099609375,8562.099609375,8585.900390625,667700
2025-12-11,8592.0,8658.900390625,8574.099609375,8579.400390625,697800
2025-12-12,8697.2998046875,8701.7998046875,8592.0,8592.0,601300
2025-12-15,8635.0,8697.2998046875,8622.7001953125,8697.2998046875,591500
2025-12-16,8598.900390625,8672.2001953125,8571.5,8635.0,707200
2025-12-17,8585.2001953125,8598.900390625,8547.099609375,8598.900390625,740900
2025-12-18,8588.2001953125,8588.2001953125,8553.0,8585.2001953125,819700
2025-12-19,8621.400390625,8647.5,8588.2001953125,8588.2001953125,1725000
2025-12-22,8699.900390625,8709.2001953125,8621.400390625,8621.400390625,498500
2025-12-23,8795.7001953125,8805.5,8699.900390625,8699.900390625,490600
2025-12-24,8762.7001953125,8795.7001953125,8742.5,8795.7001953125,292100
2025-12-29,8725.7001953125,8784.2001953125,8725.7001953125,8762.7001953125,365100
2025-12-30,8717.099609375,8751.900390625,8706.599609375,8725.7001953125,367000
2025-12-31,8714.2998046875,8732.2001953125,8679.7998046875,8717.099609375,293300
2026-01-02,8727.7998046875,8737.400390625,8696.7001953125,8714.2998046875,272200
2026-01-05,8728.599609375,8750.7001953125,8719.400390625,8727.7998046875,436300
2026-01-06,8714.599609375,8723.7998046875,8682.7998046875,8682.7998046875,73400
2026-01-07,8695.599609375,8734.2998046875,8682.7998046875,8682.7998046875,607400
2026-01-08,8720.7998046875,8739.2001953125,8693.7001953125,8695.599609375,569300
