Price,Close,High,Low,Open,Volume
Ticker,^BVSP,^BVSP,^BVSP,^BVSP,^BVSP
Date,,,,,
2025-09-08,141792.0,143089.0,141329.0,142640.0,7440900
2025-09-09,141618.0,142286.0,141606.0,141794.0,7481900
2025-09-10,142349.0,143182.0,141612.0,141612.0,7138700
2025-09-11,143151.0,144013.0,142349.0,142349.0,7570400
2025-09-12,142272.0,143202.0,142241.0,143151.0,6388600
2025-09-15,143547.0,144194.0,142292.0,142292.0,6614000
2025-09-16,144062.0,144584.0,143547.0,143547.0,8478200
2025-09-17,145594.0,146331.0,143910.0,144059.0,9604400
2025-09-18,145500.0,145726.0,144993.0,145594.0,8372000
2025-09-19,145865.0,146399.0,145496.0,145500.0,10279800
2025-09-22,145109.0,145864.0,144117.0,145864.0,9428100
2025-09-23,146425.0,147179.0,145107.0,145112.0,8143800
2025-09-24,146492.0,146585.0,146067.0,146426.0,7292900
2025-09-25,145306.0,146519.0,145187.0,146492.0,8293800
2025-09-26,145447.0,146235.0,145146.0,145326.0,6338200
2025-09-29,146337.0,147558.0,145447.0,145447.0,7074100
2025-09-30,146237.0,147578.0,145774.0,146337.0,9477300
2025-10-01,145517.0,146879.0,145193.0,146237.0,8340700
2025-10-02,143950.0,145621.0,143635.0,145517.0,7245600
2025-10-03,144201.0,144518.0,143676.0,143950.0,6177600
2025-10-06,143608.0,144532.0,143376.0,144202.0,5981500
2025-10-07,141356.0,143606.0,141035.0,143606.0,9272700
2025-10-08,142145.0,142385.0,141356.0,141356.0,7525200
2025-10-09,141708.0,143212.0,141603.0,142148.0,6821400
2025-10-10,140680.0,142274.0,140231.0,141725.0,8280800
2025-10-13,141783.0,142303.0,140682.0,140682.0,5531200
2025-10-14,141683.0,142589.0,141334.0,141788.0,7122300
2025-10-15,142604.0,142905.0,141154.0,141683.0,10321000
2025-10-16,142200.0,143191.0,141446.0,142604.0,7391900
2025-10-17,143399.0,143425.0,141248.0,142200.0,8875100
2025-10-20,144509.0,145216.0,143396.0,143399.0,6793400
2025-10-21,144085.0,144795.0,143829.0,144509.0,6193200
2025-10-22,144873.0,145048.0,144039.0,144094.0,7025000
2025-10-23,145721.0,146358.0,144881.0,144881.0,6599600
2025-10-24,146172.0,147240.0,145721.0,145721.0,6491300
2025-10-27,146969.0,147977.0,146174.0,146174.0,6445200
2025-10-28,147429.0,147811.0,146575.0,146970.0,7108000
2025-10-29,148633.0,149067.0,147430.0,147430.0,7999500
2025-10-30,148780.0,149234.0,147547.0,148632.0,7300600
2025-10-31,149540.0,149636.0,148774.0,148774.0,8911000
2025-11-03,150454.0,150761.0,149551.0,149551.0,7667600
2025-11-04,150704.0,150888.0,149979.0,150454.0,7541200
2025-11-05,153294.0,153583.0,150296.0,150709.0,9803000
2025-11-06,153339.0,154352.0,153235.0,153297.0,9387600
2025-11-07,154064.0,154066.0,152368.0,153339.0,9474100
2025-11-10,155257.0,155601.0,154058.0,154061.0,7751600
2025-11-11,157749.0,158467.0,155252.0,155257.0,12876000
2025-11-12,157633.0,158134.0,156560.0,157749.0,11226600
2025-11-13,157162.0,158319.0,156509.0,157633.0,10560800
2025-11-14,157739.0,158366.0,156656.0,157162.0,7977300
2025-11-17,156993.0,157901.0,156568.0,157742.0,8419200
2025-11-18,156522.0,157040.0,155834.0,156990.0,8723000
2025-11-19,155381.0,156522.0,155212.0,156522.0,8815200
2025-11-21,154770.0,155387.0,153571.0,155381.0,7848000
2025-11-24,155278.0,155832.0,154529.0,154769.0,9277600
2025-11-25,155910.0,156373.0,154821.0,155278.0,6929400
2025-11-26,158555.0,158714.0,155914.0,155915.0,8596500
2025-11-27,158292.0,158864.0,158167.0,158554.0,3121400
2025-11-28,159072.0,159689.0,158078.0,158358.0,8017000
2025-12-01,158611.0,159224.0,158030.0,159074.0,7504300
2025-12-02,161092.0,161092.0,158612.0,158612.0,8430000
2025-12-03,161755.0,161964.0,161093.0,161094.0,8292000
2025-12-04,164456.0,164551.0,161759.0,161760.0,10592300
2025-12-05,157369.0,165036.0,157007.0,164461.0,14529000
2025-12-08,158187.0,159235.0,157369.0,157369.0,9024100
2025-12-09,157981.0,158851.0,155188.0,158187.0,8703800
2025-12-10,159075.0,159691.0,157628.0,157984.0,8239900
2025-12-11,159189.0,159850.0,158098.0,159072.0,7018000
2025-12-12,160766.0,161263.0,159189.0,159189.0,7671200
2025-12-15,162482.0,163073.0,160766.0,160766.0,8229000
2025-12-16,158578.0,162482.0,158558.0,162482.0,9920300
2025-12-17,157327.0,158611.0,156351.0,158578.0,11344300
2025-12-18,157923.0,158496.0,157124.0,157327.0,7800100
2025-12-19,158473.0,159552.0,157906.0,157928.0,9946500
2025-12-22,158142.0,158634.0,157306.0,158480.0,8424000
2025-12-23,160456.0,160456.0,158144.0,158144.0,6569800
2025-12-26,160897.0,160913.0,159359.0,160456.0,4790000
2025-12-29,160490.0,161133.0,159702.0,160897.0,5605600
2025-12-30,161125.0,162075.0,160491.0,160491.0,5870100
2026-01-02,160539.0,161957.0,160059.0,161124.0,7459400
2026-01-05,161870.0,162166.0,160215.0,160542.0,7985200
2026-01-06,163664.0,164135.0,161870.0,161870.0,8412600
2026-01-07,161975.0,163661.0,161746.0,163661.0,8846600
2026-01-08,162937.0,162937.0,161748.0,161975.0,8607700
2026-01-09,163370.0,164263.0,162638.0,162938.0,8301300
2026-01-12,163150.0,163493.0,162277.0,163370.0,6896600
2026-01-13,161973.0,163146.0,161765.0,163146.0,9668600
2026-01-14,165146.0,165147.0,161974.0,161974.0,9928900
2026-01-15,165568.0,166070.0,164833.0,165180.0,9406500
2026-01-16,164800.0,165872.0,164100.0,165557.0,11489200
2026-01-19,164849.0,165155.0,164265.0,164800.0,4804300
2026-01-20,166277.0,166468.0,163575.0,164846.0,8369200
2026-01-21,171817.0,171969.0,166278.0,166278.0,14067700
2026-01-22,175589.0,177742.0,171817.0,171817.0,14023500
2026-01-23,178859.0,180532.0,175590.0,175590.0,11778000
2026-01-26,178721.0,179543.0,177694.0,178859.0,9569200
2026-01-27,181919.0,183360.0,178853.0,178853.0,11340800
2026-01-28,184691.0,185065.0,181921.0,181921.0,11856200
2026-01-29,183134.0,186450.0,181567.0,184692.0,12945700
2026-01-30,181364.0,183620.0,180089.0,183133.0,11105300
2026-02-02,182793.0,182890.0,181348.0,181369.0,8740500
2026-02-03,185674.0,187334.0,182816.0,182816.0,10758800
2026-02-04,181708.0,185671.0,180269.0,185671.0,10728100
2026-02-05,182127.0,184017.0,181569.0,181709.0,9832100
2026-02-06,182950.0,183262.0,181391.0,182128.0,9896700
2026-02-09,186241.0,186460.0,182950.0,182950.0,8921800
2026-02-10,185929.0,186959.0,185083.0,186241.0,10298000
2026-02-11,189699.0,190561.0,185936.0,185936.0,11642200
2026-02-12,187766.0,189990.0,186959.0,189694.0,12361300
2026-02-13,186464.0,187766.0,183662.0,187766.0,11594000
2026-02-18,186016.0,187657.0,185001.0,186464.0,7790700
2026-02-19,188534.0,188687.0,185928.0,186020.0,9228700
2026-02-20,190534.0,190727.0,186700.0,188531.0,9988100
2026-02-23,188854.0,191003.0,188526.0,190532.0,9901300
2026-02-24,191490.0,191781.0,188855.0,188855.0,11037300
2026-02-25,191248.0,192624.0,190419.0,191491.0,9134900
2026-02-26,191005.0,191978.0,188977.0,191248.0,8797400
2026-02-27,188787.0,191005.0,188478.0,191005.0,11002300
2026-03-02,189307.0,190110.0,186638.0,188786.0,9090200
2026-03-03,183105.0,189602.0,180518.0,189284.0,14367500
2026-03-04,185366.0,186306.0,183110.0,183110.0,9113300
2026-03-05,180464.0,185366.0,179895.0,185365.0,10596200
2026-03-06,179365.0,181091.0,178557.0,180463.0,9918300
