Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2025-09-08,23807.130859375,23830.119140625,23655.470703125,23771.859375,48616500
2025-09-09,23718.44921875,23859.560546875,23633.94921875,23802.609375,44540300
2025-09-10,23632.94921875,23883.580078125,23600.470703125,23837.169921875,49060600
2025-09-11,23703.650390625,23787.1796875,23563.369140625,23654.9296875,47690900
2025-09-12,23698.150390625,23793.060546875,23604.359375,23767.33984375,43830600
2025-09-15,23748.859375,23855.349609375,23664.109375,23785.259765625,40171100
2025-09-16,23329.240234375,23717.669921875,23317.30078125,23711.990234375,51217300
2025-09-17,23359.1796875,23476.7109375,23284.669921875,23407.390625,50053900
2025-09-18,23674.529296875,23690.470703125,23557.810546875,23577.060546875,54290600
2025-09-19,23639.41015625,23785.240234375,23599.259765625,23723.33984375,213887300
2025-09-22,23527.05078125,23589.25,23424.439453125,23567.490234375,53681300
2025-09-23,23611.330078125,23723.19921875,23564.970703125,23604.359375,48153500
2025-09-24,23666.810546875,23736.599609375,23499.98046875,23601.5,54163200
2025-09-25,23534.830078125,23629.369140625,23383.83984375,23620.400390625,55308500
2025-09-26,23739.470703125,23756.0390625,23579.25,23601.189453125,45110800
2025-09-29,23745.060546875,23835.609375,23666.810546875,23835.609375,39242000
2025-09-30,23880.720703125,23887.73046875,23676.359375,23726.4296875,47602500
2025-10-01,24113.619140625,24162.23046875,23753.080078125,23755.23046875,53499000
2025-10-02,24422.560546875,24502.330078125,24247.44921875,24293.830078125,54187900
2025-10-03,24378.80078125,24524.109375,24343.2109375,24511.5703125,38220200
2025-10-06,24378.2890625,24482.900390625,24269.939453125,24357.58984375,43413400
2025-10-07,24385.779296875,24452.9296875,24308.0390625,24400.76953125,41564700
2025-10-08,24597.130859375,24630.970703125,24360.650390625,24382.66015625,56849900
2025-10-09,24611.25,24771.33984375,24602.119140625,24674.650390625,41008500
2025-10-10,24241.4609375,24690.720703125,24241.4609375,24664.23046875,50177500
2025-10-13,24387.9296875,24448.76953125,24260.76953125,24372.900390625,36995100
2025-10-14,24236.939453125,24242.849609375,23986.9296875,24169.029296875,45092500
2025-10-15,24181.369140625,24339.26953125,24179.990234375,24263.7109375,43493500
2025-10-16,24272.189453125,24283.5703125,24051.849609375,24188.150390625,45218300
2025-10-17,23830.990234375,23987.75,23684.369140625,23833.109375,69383400
2025-10-20,24258.80078125,24296.390625,24026.58984375,24035.189453125,46610300
2025-10-21,24330.029296875,24384.240234375,24201.2890625,24310.439453125,42704200
2025-10-22,24151.130859375,24342.1796875,24138.25,24296.16015625,57734300
2025-10-23,24207.7890625,24222.83984375,24035.2109375,24202.779296875,51148200
2025-10-24,24239.890625,24275.990234375,24145.259765625,24275.990234375,43268900
2025-10-27,24308.779296875,24348.58984375,24185.83984375,24332.849609375,43352700
2025-10-28,24278.630859375,24339.939453125,24188.369140625,24228.1796875,41976200
2025-10-29,24124.2109375,24322.900390625,24090.580078125,24261.08984375,63568200
2025-10-30,24118.890625,24215.30078125,24034.75,24187.8203125,53909400
2025-10-31,23958.30078125,24119.66015625,23922.94921875,24115.310546875,42904400
2025-11-03,24132.41015625,24248.669921875,23982.279296875,23990.33984375,48002500
2025-11-04,23949.109375,23974.310546875,23674.650390625,23801.240234375,51570100
2025-11-05,24049.740234375,24103.529296875,23732.380859375,23774.55078125,55196800
2025-11-06,23734.01953125,24058.73046875,23721.990234375,23996.240234375,58267000
2025-11-07,23569.9609375,23837.119140625,23452.890625,23801.970703125,53123300
2025-11-10,23959.990234375,24022.689453125,23854.490234375,23925.359375,52658900
2025-11-11,24088.060546875,24108.4296875,23952.41015625,23990.140625,47222500
2025-11-12,24381.4609375,24441.279296875,24234.939453125,24245.890625,75344600
2025-11-13,24041.619140625,24416.330078125,24027.919921875,24367.69921875,60792900
2025-11-14,23876.55078125,23992.119140625,23609.060546875,23977.720703125,64036000
2025-11-17,23590.51953125,23928.48046875,23529.73046875,23890.48046875,46448300
2025-11-18,23180.529296875,23358.75,23085.380859375,23238.330078125,61389400
2025-11-19,23162.919921875,23379.359375,23105.55078125,23180.9296875,52349100
