Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2025-09-08,6495.14990234375,6508.669921875,6483.2900390625,6498.08984375,5211500000
2025-09-09,6512.60986328125,6518.22998046875,6483.080078125,6503.330078125,4798350000
2025-09-10,6532.0400390625,6555.97021484375,6516.33984375,6550.2900390625,5253010000
2025-09-11,6587.47021484375,6592.89013671875,6545.7998046875,6554.41015625,5426460000
2025-09-12,6584.2900390625,6600.2099609375,6579.490234375,6590.66015625,4641640000
2025-09-15,6615.27978515625,6619.6201171875,6602.06982421875,6603.490234375,5045020000
2025-09-16,6606.759765625,6626.990234375,6600.10986328125,6624.1298828125,5359510000
2025-09-17,6600.35009765625,6624.39013671875,6551.14990234375,6604.8701171875,5805340000
2025-09-18,6631.9599609375,6656.7998046875,6611.89013671875,6626.85009765625,5292400000
2025-09-19,6664.35986328125,6671.81982421875,6630.31005859375,6647.10986328125,9125960000
2025-09-22,6693.75,6698.8798828125,6648.06982421875,6654.27978515625,5642620000
2025-09-23,6656.919921875,6699.52001953125,6645.580078125,6692.43994140625,5633620000
2025-09-24,6637.97021484375,6672.66015625,6621.759765625,6669.7900390625,5459180000
2025-09-25,6604.72021484375,6619.0,6569.22021484375,6608.18994140625,5874670000
2025-09-26,6643.7001953125,6648.97021484375,6604.43017578125,6615.3798828125,5103110000
2025-09-29,6661.2099609375,6677.31005859375,6644.490234375,6661.580078125,5358760000
2025-09-30,6688.4599609375,6691.25,6641.0,6656.18994140625,6057210000
2025-10-01,6711.2001953125,6718.47998046875,6656.2001953125,6664.919921875,6037950000
2025-10-02,6715.35009765625,6731.93994140625,6693.22998046875,6731.31005859375,5416130000
2025-10-03,6715.7900390625,6750.8701171875,6705.669921875,6722.14013671875,5713110000
2025-10-06,6740.27978515625,6749.52001953125,6717.77978515625,6733.85986328125,5604460000
2025-10-07,6714.58984375,6754.490234375,6699.9599609375,6746.14013671875,5546150000
2025-10-08,6753.72021484375,6755.64013671875,6718.08984375,6723.8701171875,5383130000
2025-10-09,6735.10986328125,6764.580078125,6716.169921875,6760.5,5385020000
2025-10-10,6552.509765625,6762.39990234375,6550.77978515625,6740.490234375,6596610000
2025-10-13,6654.72021484375,6668.68017578125,6620.7099609375,6622.52978515625,5303960000
2025-10-14,6644.31005859375,6680.7001953125,6555.06982421875,6602.490234375,5666920000
2025-10-15,6671.06005859375,6724.1201171875,6612.10986328125,6688.27001953125,5633060000
2025-10-16,6629.06982421875,6709.33984375,6593.990234375,6689.02001953125,6048180000
2025-10-17,6664.009765625,6678.8798828125,6603.759765625,6613.27001953125,5358120000
2025-10-20,6735.1298828125,6744.35009765625,6690.0498046875,6690.0498046875,4672170000
2025-10-21,6735.35009765625,6752.16015625,6722.02978515625,6736.75,5245020000
