Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
Date,,,,,
2025-09-08,25633.91015625,25664.009765625,25387.810546875,25440.009765625,3655000000
2025-09-09,25938.130859375,26027.939453125,25675.279296875,25711.0703125,3632700000
2025-09-10,26200.259765625,26296.599609375,26017.5,26042.41015625,3793200000
2025-09-11,26086.3203125,26241.4609375,25878.970703125,25987.490234375,3992500000
2025-09-12,26388.16015625,26585.94921875,26329.66015625,26539.439453125,3332500000
2025-09-15,26446.560546875,26532.75,26280.23046875,26308.91015625,2857700000
2025-09-16,26438.509765625,26601.58984375,26332.2109375,26536.630859375,2882500000
2025-09-17,26908.390625,26936.5,26540.5703125,26554.189453125,3700800000
2025-09-18,26544.849609375,27058.029296875,26322.080078125,26863.689453125,4114200000
2025-09-19,26545.099609375,26637.640625,26414.109375,26583.029296875,4165900000
2025-09-22,26344.140625,26479.140625,26204.009765625,26459.51953125,3298400000
2025-09-23,26159.119140625,26454.08984375,26003.669921875,26435.580078125,3124500000
2025-09-24,26518.650390625,26562.880859375,26057.259765625,26073.689453125,3023200000
2025-09-25,26484.6796875,26640.529296875,26403.51953125,26536.130859375,3687000000
2025-09-26,26128.19921875,26406.05078125,26072.9296875,26272.30078125,3440600000
2025-09-29,26622.880859375,26687.720703125,26321.5703125,26321.5703125,3502800000
2025-09-30,26855.560546875,26888.400390625,26558.279296875,26674.16015625,3501900000
2025-10-02,27287.119140625,27381.83984375,26918.30078125,26918.30078125,2324600000
2025-10-03,27140.919921875,27262.0,26972.7109375,27221.4609375,1392000000
2025-10-06,26957.76953125,27145.169921875,26873.33984375,27003.919921875,1131600000
2025-10-08,26829.4609375,26906.19921875,26517.44921875,26900.640625,2105700000
2025-10-09,26752.58984375,26978.41015625,26480.580078125,26862.029296875,4013900000
2025-10-10,26290.3203125,26558.869140625,26247.0390625,26523.890625,3432000000
2025-10-13,25889.48046875,25895.619140625,25336.08984375,25634.0,5172800000
2025-10-14,25441.349609375,26102.6796875,25331.640625,25969.2109375,4753200000
2025-10-15,25910.599609375,25982.2109375,25593.44921875,25714.890625,3503900000
2025-10-16,25888.509765625,26062.80078125,25687.3203125,25890.009765625,3380900000
2025-10-17,25247.099609375,25859.8203125,25145.33984375,25851.939453125,4008400000
2025-10-20,25858.830078125,25912.76953125,25710.609375,25884.4609375,2901600000
2025-10-21,26027.55078125,26367.349609375,26017.720703125,26160.240234375,3065000000
2025-10-22,25781.76953125,25947.880859375,25653.75,25897.619140625,2830300000
2025-10-23,25967.98046875,26080.83984375,25591.66015625,25718.529296875,3104000000
2025-10-24,26160.150390625,26239.9609375,26063.990234375,26177.109375,2592100000
2025-10-27,26433.69921875,26495.970703125,26319.220703125,26495.970703125,3164600000
2025-10-28,26346.140625,26519.240234375,26245.330078125,26508.75,2857300000
2025-10-30,26282.689453125,26588.890625,26138.7890625,26545.919921875,4318800000
2025-10-31,25906.650390625,26283.9609375,25906.650390625,26263.009765625,3378200000
2025-11-03,26158.359375,26217.119140625,25920.26953125,25999.169921875,1789700000
2025-11-04,25952.400390625,26291.650390625,25911.7890625,26148.0703125,3421200000
2025-11-05,25935.41015625,25980.900390625,25496.130859375,25701.630859375,2770000000
2025-11-06,26485.900390625,26490.7109375,26061.580078125,26061.580078125,2705200000
2025-11-07,26241.830078125,26371.4609375,26167.23046875,26350.740234375,2695900000
2025-11-10,26649.060546875,26668.890625,26302.9296875,26319.400390625,3124500000
2025-11-11,26696.41015625,26788.4296875,26511.25,26748.08984375,2417600000
2025-11-12,26922.73046875,27016.400390625,26739.08984375,26754.9296875,3437300000
2025-11-13,27073.029296875,27188.810546875,26733.2109375,26779.48046875,3285700000
2025-11-14,26572.4609375,26881.880859375,26535.419921875,26660.310546875,2809900000
2025-11-17,26384.279296875,26531.80078125,26252.359375,26441.69921875,2521100000
2025-11-18,25930.029296875,26188.8203125,25821.83984375,26172.26953125,3514100000
2025-11-19,25830.650390625,26045.369140625,25742.0703125,25954.23046875,2886700000
2025-11-20,25835.5703125,26046.759765625,25692.130859375,25999.779296875,2979200000
2025-11-21,25220.01953125,25483.669921875,25178.630859375,25460.419921875,3957900000
2025-11-24,25716.5,25770.44921875,25369.2890625,25452.869140625,4422700000
2025-11-25,25894.55078125,26069.220703125,25740.5390625,25948.900390625,2962100000
2025-11-26,25928.080078125,26136.26953125,25907.060546875,26046.740234375,2564700000
2025-11-27,25945.9296875,26123.689453125,25822.66015625,25945.5390625,2682700000
2025-11-28,25858.890625,26011.060546875,25807.55078125,26011.060546875,1961600000
2025-12-01,26033.259765625,26179.720703125,25913.98046875,25945.869140625,2318600000
2025-12-02,26095.05078125,26264.130859375,25989.44921875,26188.55078125,2453000000
2025-12-03,25760.73046875,25996.880859375,25724.8203125,25980.890625,2176600000
2025-12-04,25935.900390625,25990.73046875,25649.30078125,25804.009765625,2169200000
2025-12-05,26085.080078125,26131.609375,25758.169921875,25833.109375,2973100000
2025-12-08,25765.359375,26151.4609375,25755.009765625,26067.859375,2923100000
2025-12-09,25434.23046875,25820.310546875,25386.580078125,25780.970703125,2858700000
2025-12-10,25540.779296875,25540.779296875,25257.609375,25435.490234375,2729900000
