Price,Close,High,Low,Open,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Date,,,,,
2025-09-08,21798.69921875,21885.619140625,21776.240234375,21806.220703125,8435850000
2025-09-09,21879.490234375,21891.419921875,21731.48046875,21858.169921875,7877410000
2025-09-10,21886.060546875,22000.970703125,21810.83984375,21980.599609375,9090550000
2025-09-11,22043.0703125,22059.7109375,21908.810546875,21977.51953125,10025020000
2025-09-12,22141.099609375,22182.33984375,22031.619140625,22078.630859375,9023140000
2025-09-15,22348.75,22352.25,22233.0,22243.19921875,8904030000
2025-09-16,22333.9609375,22397.5,22308.779296875,22397.5,8592240000
2025-09-17,22261.330078125,22339.5390625,22058.919921875,22333.01953125,9325980000
2025-09-18,22470.720703125,22540.9296875,22358.48046875,22439.109375,10478450000
2025-09-19,22631.48046875,22645.109375,22497.7109375,22554.310546875,14632360000
2025-09-22,22788.98046875,22801.900390625,22590.859375,22606.58984375,9736270000
2025-09-23,22573.470703125,22785.130859375,22539.0390625,22782.720703125,9822620000
2025-09-24,22497.859375,22657.44921875,22397.0,22656.01953125,9184030000
2025-09-25,22384.69921875,22456.779296875,22185.869140625,22318.76953125,9960330000
2025-09-26,22484.0703125,22488.1796875,22285.439453125,22403.26953125,8488400000
2025-09-29,22591.150390625,22704.900390625,22536.05078125,22605.30078125,9046720000
2025-09-30,22660.009765625,22671.390625,22493.9609375,22580.359375,8928070000
2025-10-01,22755.16015625,22782.580078125,22516.740234375,22530.94921875,10043980000
2025-10-02,22844.05078125,22900.599609375,22729.75,22885.900390625,9633200000
2025-10-03,22780.509765625,22925.4296875,22695.8203125,22886.16015625,10515730000
2025-10-06,22941.669921875,22991.720703125,22827.560546875,22894.349609375,10468830000
2025-10-07,22788.359375,23006.0703125,22718.759765625,22972.369140625,10375920000
2025-10-08,23043.380859375,23045.140625,22845.419921875,22852.3203125,10925520000
2025-10-09,23024.630859375,23062.619140625,22899.16015625,23045.330078125,10713200000
2025-10-10,22204.4296875,23119.91015625,22193.0703125,23043.51953125,11635030000
2025-10-13,22694.609375,22718.75,22499.490234375,22578.669921875,9018770000
2025-10-14,22521.69921875,22691.0703125,22213.73046875,22388.0390625,9776720000
2025-10-15,22670.080078125,22841.689453125,22427.7890625,22738.5,11374850000
2025-10-16,22562.5390625,22886.869140625,22404.689453125,22764.400390625,11343620000
2025-10-17,22679.970703125,22736.009765625,22396.650390625,22489.810546875,9552150000
2025-10-20,22990.5390625,23031.869140625,22841.0,22844.8203125,9440620000
2025-10-21,22953.669921875,23010.349609375,22894.419921875,22984.55078125,10845130000
2025-10-22,22740.400390625,22978.400390625,22514.080078125,22940.7890625,14361150000
2025-10-23,22941.80078125,22983.4609375,22732.1796875,22751.330078125,10363600000
2025-10-24,23204.869140625,23261.259765625,23127.9609375,23143.23046875,10308620000
2025-10-27,23637.4609375,23658.66015625,23493.9609375,23537.3203125,10757830000
2025-10-28,23827.490234375,23901.359375,23675.189453125,23766.4609375,10640830000
2025-10-29,23958.470703125,24019.990234375,23763.990234375,23987.2890625,10089540000
2025-10-30,23581.140625,23846.130859375,23578.470703125,23793.080078125,10564160000
2025-10-31,23724.9609375,23946.23046875,23628.8203125,23941.779296875,10909250000
2025-11-03,23834.720703125,23976.83984375,23764.869140625,23951.91015625,10360170000
