Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2025-09-08,24773.150390625,24885.5,24751.55078125,24802.599609375,213200
2025-09-09,24868.599609375,24891.80078125,24814.0,24864.099609375,226900
2025-09-10,24973.099609375,25035.69921875,24915.05078125,24991.0,244100
2025-09-11,25005.5,25037.30078125,24940.150390625,24945.5,224600
2025-09-12,25114.0,25139.44921875,25038.05078125,25074.44921875,225700
2025-09-15,25069.19921875,25138.44921875,25048.75,25118.900390625,185400
2025-09-16,25239.099609375,25261.400390625,25070.44921875,25073.599609375,240100
2025-09-17,25330.25,25346.5,25275.349609375,25276.599609375,268900
2025-09-18,25423.599609375,25448.94921875,25329.75,25441.05078125,272200
2025-09-19,25327.05078125,25428.75,25286.30078125,25410.19921875,380400
2025-09-22,25202.349609375,25331.69921875,25151.05078125,25238.099609375,254500
2025-09-23,25169.5,25261.900390625,25084.650390625,25209.0,299200
2025-09-24,25056.900390625,25149.849609375,25027.44921875,25108.75,244400
2025-09-25,24890.849609375,25092.69921875,24878.30078125,25034.5,342500
2025-09-26,24654.69921875,24868.599609375,24629.44921875,24818.55078125,291500
2025-09-29,24634.900390625,24791.30078125,24606.19921875,24728.55078125,394400
2025-09-30,24611.099609375,24731.80078125,24587.69921875,24691.94921875,303000
2025-10-01,24836.30078125,24867.94921875,24605.94921875,24620.55078125,308900
2025-10-03,24894.25,24904.80078125,24747.55078125,24759.55078125,365900
2025-10-06,25077.650390625,25095.94921875,24881.650390625,24916.55078125,268800
2025-10-07,25108.30078125,25220.900390625,25076.30078125,25085.30078125,288000
2025-10-08,25046.150390625,25192.5,25008.5,25079.75,227400
2025-10-09,25181.80078125,25199.25,25024.30078125,25074.30078125,286300
2025-10-10,25285.349609375,25330.75,25156.849609375,25167.650390625,232900
2025-10-13,25227.349609375,25267.30078125,25152.30078125,25177.30078125,234300
2025-10-14,25145.5,25310.349609375,25060.55078125,25277.55078125,292100
2025-10-15,25323.55078125,25365.150390625,25159.349609375,25181.94921875,289900
2025-10-16,25585.30078125,25625.400390625,25376.849609375,25394.900390625,372800
2025-10-17,25709.849609375,25781.5,25508.599609375,25546.849609375,422100
2025-10-20,25843.150390625,25926.19921875,25788.5,25824.599609375,301100
2025-10-21,25868.599609375,25934.349609375,25825.80078125,25901.19921875,42500
2025-10-23,25891.400390625,26104.19921875,25862.44921875,26057.19921875,448400
2025-10-24,25795.150390625,25944.150390625,25718.19921875,25935.099609375,284900
2025-10-27,25966.05078125,26005.94921875,25827.0,25843.19921875,266300
2025-10-28,25936.19921875,26041.69921875,25810.05078125,25939.94921875,395200
2025-10-29,26053.900390625,26097.849609375,25960.30078125,25982.0,321900
2025-10-30,25877.849609375,26032.05078125,25845.25,25984.400390625,257400
2025-10-31,25722.099609375,25953.75,25711.19921875,25863.80078125,334400
2025-11-03,25763.349609375,25803.099609375,25645.5,25696.849609375,23300
2025-11-04,25597.650390625,25787.400390625,25578.400390625,25744.75,305100
2025-11-06,25509.69921875,25679.150390625,25491.55078125,25593.349609375,371900
2025-11-07,25492.30078125,25551.25,25318.44921875,25433.80078125,305600
2025-11-10,25574.349609375,25653.44921875,25503.5,25503.5,243600
2025-11-11,25694.94921875,25715.80078125,25449.25,25617.0,297700
2025-11-12,25875.80078125,25934.55078125,25781.150390625,25834.30078125,312600
2025-11-13,25879.150390625,26010.69921875,25808.400390625,25906.099609375,385200
2025-11-14,25910.05078125,25940.19921875,25740.80078125,25767.900390625,518900
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600
2025-11-24,25959.5,26142.80078125,25912.150390625,26122.80078125,464700
2025-11-25,25884.80078125,26032.599609375,25857.5,25998.5,260500
2025-11-26,26205.30078125,26215.150390625,25842.94921875,25842.94921875,275300
2025-11-27,26215.55078125,26310.44921875,26141.900390625,26261.25,240300
2025-11-28,26202.94921875,26280.75,26172.400390625,26237.44921875,202500
2025-12-01,26175.75,26325.80078125,26124.19921875,26325.80078125,213800
2025-12-02,26032.19921875,26154.599609375,25997.849609375,26087.94921875,254800
2025-12-03,25986.0,26066.44921875,25891.0,26004.900390625,265700
2025-12-04,26033.75,26098.25,25938.94921875,25981.849609375,248100
2025-12-05,26186.44921875,26202.599609375,25985.349609375,25999.80078125,249300
2025-12-08,25960.55078125,26178.69921875,25892.25,26159.80078125,320700
2025-12-09,25839.650390625,25923.650390625,25728.0,25867.099609375,276000
2025-12-10,25758.0,25947.650390625,25734.55078125,25864.05078125,207900
2025-12-11,25898.55078125,25922.80078125,25693.25,25771.400390625,206100
2025-12-12,26046.94921875,26057.599609375,25938.44921875,25971.19921875,216300
2025-12-15,26027.30078125,26047.150390625,25904.75,25930.05078125,181600
2025-12-16,25860.099609375,25980.75,25834.349609375,25951.5,264400
2025-12-17,25818.55078125,25929.150390625,25770.349609375,25902.400390625,206500
2025-12-18,25815.55078125,25902.349609375,25726.30078125,25764.69921875,197600
2025-12-19,25966.400390625,25993.349609375,25880.44921875,25911.5,382900
2025-12-22,26172.400390625,26180.69921875,26047.80078125,26055.849609375,253000
2025-12-23,26177.150390625,26233.55078125,26119.05078125,26205.19921875,216600
2025-12-24,26142.099609375,26236.400390625,26123.0,26170.650390625,188800
2025-12-26,26042.30078125,26144.19921875,26008.599609375,26121.25,142200
2025-12-29,25942.099609375,26106.80078125,25920.30078125,26063.349609375,234300
2025-12-30,25938.849609375,25976.75,25878.0,25940.900390625,396900
2025-12-31,26129.599609375,26187.94921875,25969.0,25971.05078125,246300
2026-01-01,26146.55078125,26197.55078125,26113.400390625,26173.30078125,425600
2026-01-02,26328.55078125,26340.0,26118.400390625,26155.099609375,357500
2026-01-05,26250.30078125,26373.19921875,26210.05078125,26333.69921875,338800
2026-01-06,26178.69921875,26273.94921875,26124.75,26189.69921875,383000
2026-01-07,26140.75,26187.150390625,26067.900390625,26143.099609375,338200
2026-01-08,25876.849609375,26133.19921875,25858.44921875,26106.5,328500
2026-01-09,25683.30078125,25940.599609375,25623.0,25840.400390625,348800
2026-01-12,25790.25,25813.150390625,25473.400390625,25669.05078125,275800
2026-01-13,25732.30078125,25899.80078125,25603.30078125,25897.349609375,339500
2026-01-14,25665.599609375,25791.75,25603.94921875,25648.55078125,393100
2026-01-16,25694.349609375,25873.5,25662.400390625,25696.05078125,434000
2026-01-19,25585.5,25653.30078125,25494.349609375,25653.099609375,443100
2026-01-20,25232.5,25585.0,25171.349609375,25580.30078125,409800
2026-01-21,25157.5,25300.94921875,24919.80078125,25141.0,395600
2026-01-22,25289.900390625,25435.75,25168.5,25344.150390625,486400
2026-01-23,25048.650390625,25347.94921875,25025.30078125,25344.599609375,393900
2026-01-27,25175.400390625,25246.650390625,24932.55078125,25063.349609375,618700
2026-01-28,25342.75,25372.099609375,25187.650390625,25258.849609375,574900
2026-01-29,25418.900390625,25458.150390625,25159.80078125,25345.0,582400
2026-01-30,25320.650390625,25370.69921875,25213.650390625,25247.55078125,508400
2026-02-02,25088.400390625,25108.099609375,24679.400390625,24796.5,449200
2026-02-03,25727.55078125,26341.19921875,25641.30078125,26308.05078125,637300
2026-02-04,25776.0,25818.55078125,25563.94921875,25675.05078125,429800
2026-02-05,25642.80078125,25757.650390625,25579.5,25755.900390625,343800
2026-02-06,25693.69921875,25703.94921875,25491.900390625,25605.80078125,375500
2026-02-09,25867.30078125,25922.25,25780.900390625,25888.69921875,359400
2026-02-10,25935.150390625,25989.44921875,25870.44921875,25922.650390625,460900
2026-02-11,25953.849609375,26009.400390625,25899.80078125,25997.44921875,331400
2026-02-12,25807.19921875,25906.69921875,25752.400390625,25906.69921875,419400
2026-02-13,25471.099609375,25630.349609375,25444.30078125,25571.150390625,453500
2026-02-16,25682.75,25697.0,25372.69921875,25423.599609375,275800
2026-02-17,25725.400390625,25764.400390625,25570.30078125,25637.94921875,344100
2026-02-18,25819.349609375,25828.05078125,25645.150390625,25752.650390625,310200
2026-02-19,25454.349609375,25885.30078125,25388.75,25873.349609375,298200
2026-02-20,25571.25,25663.55078125,25379.75,25406.55078125,296600
2026-02-23,25713.0,25771.44921875,25609.349609375,25678.400390625,313700
2026-02-24,25424.650390625,25641.80078125,25327.599609375,25641.80078125,439100
2026-02-25,25482.5,25652.599609375,25428.19921875,25512.599609375,414200
2026-02-26,25496.55078125,25572.94921875,25400.94921875,25556.30078125,405200
2026-02-27,25178.650390625,25476.400390625,25141.30078125,25459.849609375,438900
2026-03-02,24865.69921875,24989.349609375,24603.5,24659.25,519200
2026-03-04,24480.5,24602.44921875,24305.400390625,24388.80078125,599000
2026-03-05,24765.900390625,24854.19921875,24529.400390625,24615.94921875,504300
2026-03-06,24450.44921875,24700.900390625,24415.75,24656.400390625,433400
