Price,Close,High,Low,Open,Volume
Ticker,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI
Date,,,,,
2025-09-08,12312.650390625,12375.490234375,12269.259765625,12374.669921875,17946400
2025-09-09,12281.08984375,12331.3798828125,12264.4697265625,12318.3603515625,19839900
2025-09-10,12217.4599609375,12340.16015625,12205.900390625,12310.3603515625,16665500
2025-09-11,12292.7197265625,12304.8095703125,12239.150390625,12276.349609375,18999600
2025-09-12,12193.8603515625,12275.83984375,12193.8603515625,12258.26953125,18008300
2025-09-15,12144.3203125,12221.8798828125,12125.650390625,12221.8798828125,22278700
2025-09-16,12018.66015625,12142.2900390625,12007.919921875,12114.6201171875,21409900
2025-09-17,11998.9599609375,12031.490234375,11969.740234375,11994.919921875,19469400
2025-09-18,12049.1298828125,12068.099609375,11996.08984375,12030.7197265625,16778700
2025-09-19,12109.669921875,12153.9404296875,12023.080078125,12046.2099609375,61425200
2025-09-22,12126.1396484375,12172.990234375,12086.2197265625,12107.5595703125,16510700
2025-09-23,12102.6103515625,12158.23046875,12080.169921875,12113.23046875,18926400
2025-09-24,11978.830078125,12046.9404296875,11960.51953125,12041.1298828125,22219600
2025-09-25,11875.7998046875,11952.2001953125,11875.7998046875,11934.4296875,23225600
2025-09-26,11929.7998046875,11958.240234375,11867.8896484375,11869.0703125,17552700
2025-09-29,12006.7099609375,12027.6904296875,11958.349609375,11968.51953125,18661600
2025-09-30,12109.419921875,12119.6298828125,11985.6103515625,12005.98046875,23485300
2025-10-01,12360.1298828125,12360.1298828125,12189.419921875,12193.900390625,25437700
2025-10-02,12427.1796875,12466.2802734375,12395.51953125,12446.9404296875,21691800
2025-10-03,12507.169921875,12549.0595703125,12440.740234375,12450.0703125,19587600
2025-10-06,12551.3603515625,12564.599609375,12471.4501953125,12498.73046875,17633100
2025-10-07,12521.7900390625,12580.2998046875,12509.7900390625,12545.1396484375,15958000
2025-10-08,12648.1103515625,12666.080078125,12551.759765625,12551.830078125,22111700
2025-10-09,12609.150390625,12663.8095703125,12609.150390625,12636.3095703125,21244500
2025-10-10,12481.41015625,12646.48046875,12481.41015625,12604.150390625,21083500
2025-10-13,12484.7998046875,12546.5498046875,12437.1396484375,12508.1103515625,16751600
2025-10-14,12434.8095703125,12498.650390625,12403.0302734375,12430.8896484375,25338000
2025-10-15,12529.580078125,12529.580078125,12415.740234375,12457.7001953125,28005700
2025-10-16,12702.080078125,12726.2197265625,12466.5703125,12491.080078125,31363000
2025-10-17,12644.490234375,12646.5400390625,12476.919921875,12547.419921875,34024900
2025-10-20,12635.01953125,12680.08984375,12581.1904296875,12617.26953125,26506300
2025-10-21,12622.7001953125,12650.8701171875,12567.6201171875,12619.5498046875,21800200
2025-10-22,12614.4296875,12626.91015625,12554.5498046875,12578.66015625,22037400
2025-10-23,12557.26953125,12612.4404296875,12546.9697265625,12583.08984375,16053700
2025-10-24,12568.1796875,12597.98046875,12532.8203125,12579.7099609375,17524100
2025-10-27,12527.58984375,12548.51953125,12446.0498046875,12536.6796875,20164400
2025-10-28,12360.150390625,12480.5498046875,12343.3095703125,12458.9501953125,24731100
2025-10-29,12314.099609375,12374.4296875,12277.25,12365.919921875,23516600
2025-10-30,12309.6298828125,12314.9296875,12258.9599609375,12289.5498046875,20303600
2025-10-31,12234.5,12332.9501953125,12203.3798828125,12321.5595703125,18984200
2025-11-03,12235.5400390625,12310.75,12233.8798828125,12248.16015625,15637400
2025-11-04,12306.8896484375,12306.8896484375,12100.509765625,12182.5595703125,21232600
2025-11-05,12363.5302734375,12387.5595703125,12255.76953125,12255.9697265625,21214200
2025-11-06,12298.8603515625,12338.259765625,12286.83984375,12333.919921875,18726200
2025-11-07,12298.349609375,12330.33984375,12217.3798828125,12315.33984375,18258500
2025-11-10,12455.2001953125,12476.7900390625,12358.25,12394.5595703125,18324500
2025-11-11,12702.080078125,12722.3603515625,12507.490234375,12507.9296875,20549100
2025-11-12,12793.740234375,12823.51953125,12717.51953125,12722.3603515625,20879100
2025-11-13,12740.91015625,12843.080078125,12740.91015625,12823.2197265625,18991700
2025-11-14,12634.2998046875,12742.3203125,12547.6796875,12638.1103515625,25993800
2025-11-17,12597.8203125,12655.48046875,12559.3701171875,12632.900390625,18117800
2025-11-18,12481.9501953125,12566.2197265625,12440.3095703125,12559.9404296875,27041400
2025-11-19,12530.6201171875,12596.5595703125,12494.0400390625,12523.6904296875,18433600
2025-11-20,12543.0595703125,12640.1904296875,12531.3701171875,12620.1904296875,21313400
2025-11-21,12632.669921875,12634.419921875,12476.169921875,12479.01953125,25759700
2025-11-24,12654.1201171875,12712.1201171875,12623.7197265625,12692.0,44360500
2025-11-25,12771.6298828125,12773.8095703125,12618.25,12673.3798828125,22155200
2025-11-26,12822.240234375,12834.8203125,12768.7900390625,12784.98046875,23535600
2025-11-27,12831.0498046875,12847.919921875,12781.599609375,12806.8896484375,12481300
2025-11-28,12833.9599609375,12854.2802734375,12799.7900390625,12821.9296875,20763400
2025-12-01,12850.73046875,12878.3798828125,12804.3701171875,12804.3701171875,19904800
2025-12-02,12890.25,12948.650390625,12819.3896484375,12832.6298828125,19029000
2025-12-03,12858.330078125,12949.98046875,12832.0595703125,12894.2900390625,21835800
2025-12-04,12893.6103515625,12933.6298828125,12860.0302734375,12866.75,19218300
2025-12-05,12936.2998046875,12961.099609375,12866.8603515625,12876.8701171875,31933500
2025-12-08,12981.419921875,13000.1396484375,12913.75,12941.990234375,23993700
2025-12-09,12931.16015625,12988.599609375,12914.91015625,12965.73046875,21983900
2025-12-10,12921.48046875,12938.7001953125,12821.0302734375,12880.099609375,23343700
2025-12-11,12905.169921875,12945.41015625,12867.0498046875,12889.3095703125,22868900
2025-12-12,12887.48046875,12998.5,12875.16015625,12913.5,29084000
2025-12-15,13036.7998046875,13042.3896484375,12920.51953125,12926.349609375,19215200
2025-12-16,13056.740234375,13130.740234375,13020.099609375,13082.8095703125,25706500
2025-12-17,13028.6201171875,13061.650390625,13003.75,13056.669921875,26677800
2025-12-18,13136.080078125,13136.080078125,12998.2197265625,13007.259765625,22030700
2025-12-19,13171.849609375,13181.2802734375,13085.23046875,13134.08984375,56944400
2025-12-22,13163.66015625,13164.080078125,13097.509765625,13133.6298828125,15542200
2025-12-23,13242.7998046875,13288.66015625,13162.8203125,13163.740234375,15665700
2025-12-29,13240.58984375,13283.1298828125,13219.23046875,13251.8603515625,16194800
2025-12-30,13267.48046875,13285.3203125,13206.51953125,13206.51953125,13733500
2026-01-05,13247.3203125,13247.3603515625,13137.8095703125,13194.0,30291700
