Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,
2025-09-08,24547.380859375,24729.9609375,24547.380859375,24610.849609375,4221200
2025-09-09,24855.1796875,24880.0703125,24650.4609375,24650.4609375,4235300
2025-09-10,25192.58984375,25272.23046875,25032.880859375,25032.880859375,4503300
2025-09-11,25215.7109375,25541.439453125,25174.130859375,25509.30078125,5159400
2025-09-12,25474.640625,25492.279296875,25349.69921875,25349.69921875,4362700
2025-09-15,25357.16015625,25519.939453125,25284.169921875,25494.099609375,3734300
2025-09-16,25629.640625,25664.810546875,25335.4609375,25335.4609375,4224500
2025-09-17,25438.25,25632.0703125,25422.9609375,25543.91015625,4404600
2025-09-18,25769.359375,25769.359375,25475.25,25543.169921875,4746200
2025-09-19,25578.369140625,25864.009765625,25578.369140625,25794.66015625,6041400
2025-09-22,25880.599609375,25887.689453125,25599.599609375,25599.599609375,4316700
2025-09-23,26247.369140625,26307.30078125,26041.689453125,26121.0,4775000
2025-09-24,26196.73046875,26394.029296875,26045.470703125,26389.16015625,4309500
2025-09-25,26023.849609375,26247.849609375,26023.849609375,26067.970703125,5318500
2025-09-26,25580.3203125,25998.279296875,25469.0390625,25998.279296875,4370400
2025-09-30,25820.5390625,25975.83984375,25738.310546875,25738.310546875,3601000
2025-10-01,25982.91015625,26325.7890625,25982.91015625,26078.2890625,4127200
2025-10-02,26378.390625,26489.7890625,26330.25,26392.310546875,4331900
2025-10-03,26761.060546875,26761.060546875,26410.029296875,26435.099609375,3947400
2025-10-07,27211.94921875,27301.419921875,27017.080078125,27029.279296875,4714200
2025-10-08,27063.6796875,27110.4296875,26883.990234375,26999.8203125,4475000
2025-10-09,27301.919921875,27463.119140625,27253.0703125,27301.609375,5551400
2025-10-13,26923.419921875,26965.720703125,26470.439453125,26762.599609375,4848200
2025-10-14,26793.150390625,27507.16015625,26764.060546875,27282.099609375,6407700
2025-10-15,27275.7109375,27275.7109375,26773.150390625,26911.05078125,4438300
2025-10-16,27647.869140625,27732.779296875,27337.3203125,27337.3203125,4657900
2025-10-17,27302.369140625,27513.08984375,27302.369140625,27399.91015625,4488400
2025-10-20,27688.630859375,27768.26953125,27412.44921875,27480.439453125,4283400
2025-10-21,27752.41015625,27969.05078125,27742.55078125,27742.55078125,4293000
